Year;Month;Day;Hour;Minute;Speed;Direction
2019;06;09;20;00;34.13;116.29
2019;06;09;21;00;20.57;122.86
2019;06;09;22;00;19.81;114.70
2019;06;09;23;00;27.06;115.20
2019;06;10;00;00;23.68;118.12
2019;06;10;01;00;16.75;278.65
2019;06;10;02;00;14.02;330.80
2019;06;10;03;00;11.30;329.35
2019;06;10;04;00;15.12;360.00
2019;06;10;05;00;20.04;17.78
2019;06;10;06;00;21.14;42.93
2019;06;10;07;00;19.88;47.94
2019;06;10;08;00;11.75;62.65
2019;06;10;09;00;5.76;90.00
2019;06;10;10;00;4.35;204.44
2019;06;10;11;00;17.34;265.24
2019;06;10;12;00;16.56;271.25
2019;06;10;13;00;16.68;283.74
2019;06;10;14;00;16.55;315.88
2019;06;10;15;00;15.38;327.43
2019;06;10;16;00;17.06;315.86
2019;06;10;17;00;21.38;315.00
2019;06;10;18;00;24.70;323.30
2019;06;10;19;00;26.49;312.80
2019;06;10;20;00;27.57;310.76
2019;06;10;21;00;29.38;323.97
2019;06;10;22;00;27.96;325.49
2019;06;10;23;00;27.06;331.39
